current_timestamp,current_timestamp,'Green Bay Packers','NFC',443,216,2118,16
current_timestamp,current_timestamp,'Buffalo Bills','AFC',411,240,1723,16
current_timestamp,current_timestamp,'Tampa Bay Buccaneers','NFC',369,238,1519,16
current_timestamp,current_timestamp,'Tennessee Titans','AFC',521,203,2690,26
current_timestamp,current_timestamp,'New Orleans Saints','NFC',494,199,2265,30
current_timestamp,current_timestamp,'Kansas City Chiefs','AFC',403,255,1799,13
current_timestamp,current_timestamp,'Baltimore Ravens','AFC',555,142,3071,24
current_timestamp,current_timestamp,'Seattle Seahawks','NFC',411,216,1971,15
current_timestamp,current_timestamp,'Indianapolis Colts','AFC',459,201,1996,20
current_timestamp,current_timestamp,'Las Vegas Raiders','AFC',457,206,1916,20
current_timestamp,current_timestamp,'Minnesota Vikings','NFC',468,212,2283,20
current_timestamp,current_timestamp,'Pittsburgh Steelers','AFC',373,206,1351,12
current_timestamp,current_timestamp,'Arizona Cardinals','NFC',479,211,2237,22
current_timestamp,current_timestamp,'Cleveland Browns','AFC',495,195,2374,21
current_timestamp,current_timestamp,'Miami Dolphins','AFC',428,207,1688,15
current_timestamp,current_timestamp,'Atlanta Falcons','NFC',409,243,1532,13
current_timestamp,current_timestamp,'Dallas Cowboys','NFC',430,231,1788,14
current_timestamp,current_timestamp,'Houston Texans','AFC',344,222,1466,10
current_timestamp,current_timestamp,'Los Angeles Chargers','AFC',466,226,1784,12
current_timestamp,current_timestamp,'Detroit Lions','NFC',367,220,1499,17
current_timestamp,current_timestamp,'San Francisco 49ers','NFC',437,217,1889,19
current_timestamp,current_timestamp,'Los Angeles Rams','NFC',473,206,2018,19
current_timestamp,current_timestamp,'Chicago Bears','NFC',393,218,1647,12
current_timestamp,current_timestamp,'Carolina Panthers','NFC',407,192,1704,19
current_timestamp,current_timestamp,'Washington Football Team','NFC',400,184,1611,18
current_timestamp,current_timestamp,'Philadelphia Eagles','NFC',403,177,2027,16
current_timestamp,current_timestamp,'New England Patriots','AFC',502,157,2346,20
current_timestamp,current_timestamp,'Denver Broncos','AFC',442,176,1918,13
current_timestamp,current_timestamp,'Cincinnati Bengals','AFC',411,201,1668,13
current_timestamp,current_timestamp,'Jacksonville Jaguars','AFC',337,205,1519,9
current_timestamp,current_timestamp,'New York Giants','NFC',399,178,1768,13
current_timestamp,current_timestamp,'New York Jets','AFC',406,146,1683,9
